municip_code_ibge,year,months_suitable
3172202,2017,7
3172202,2018,6
3172202,2019,8
3172202,2020,7
3200102,2001,12
3200102,2002,12
3200102,2003,12
3200102,2004,9
3200102,2005,11
3200102,2006,10
3200102,2007,12
3200102,2008,11
3200102,2009,11
3200102,2010,9
3200102,2011,10
3200102,2012,11
3200102,2013,11
3200102,2014,11
3200102,2015,12
3200102,2016,12
3200102,2017,10
3200102,2018,12
3200102,2019,12
3200102,2020,12
3200136,2001,12
3200136,2002,12
3200136,2003,12
3200136,2004,12
3200136,2005,12
3200136,2006,12
3200136,2007,12
3200136,2008,12
3200136,2009,12
3200136,2010,12
3200136,2011,12
3200136,2012,12
3200136,2013,12
3200136,2014,12
3200136,2015,12
3200136,2016,12
3200136,2017,12
3200136,2018,12
3200136,2019,12
3200136,2020,12
3200169,2001,12
3200169,2002,12
3200169,2003,12
3200169,2004,12
3200169,2005,12
3200169,2006,12
3200169,2007,12
3200169,2008,12
3200169,2009,12
3200169,2010,12
3200169,2011,12
3200169,2012,12
3200169,2013,12
3200169,2014,12
3200169,2015,12
3200169,2016,12
3200169,2017,12
3200169,2018,12
3200169,2019,12
3200169,2020,12
3200201,2001,12
3200201,2002,12
3200201,2003,12
3200201,2004,9
3200201,2005,11
3200201,2006,10
3200201,2007,12
3200201,2008,10
3200201,2009,11
3200201,2010,10
3200201,2011,10
3200201,2012,12
3200201,2013,12
3200201,2014,10
3200201,2015,12
3200201,2016,11
3200201,2017,11
3200201,2018,12
3200201,2019,12
3200201,2020,12
3200300,2001,11
3200300,2002,12
3200300,2003,10
3200300,2004,9
3200300,2005,11
3200300,2006,10
3200300,2007,12
3200300,2008,10
3200300,2009,11
3200300,2010,9
3200300,2011,10
3200300,2012,11
3200300,2013,12
3200300,2014,10
3200300,2015,12
3200300,2016,11
3200300,2017,10
3200300,2018,12
3200300,2019,10
3200300,2020,12
3200359,2001,12
3200359,2002,12
3200359,2003,12
3200359,2004,12
3200359,2005,12
3200359,2006,12
3200359,2007,12
3200359,2008,12
3200359,2009,12
3200359,2010,12
3200359,2011,12
3200359,2012,12
3200359,2013,12
3200359,2014,12
3200359,2015,12
3200359,2016,12
3200359,2017,12
3200359,2018,12
3200359,2019,12
3200359,2020,12
3200409,2001,12
3200409,2002,12
3200409,2003,12
3200409,2004,12
3200409,2005,12
3200409,2006,12
3200409,2007,12
3200409,2008,12
3200409,2009,12
3200409,2010,12
3200409,2011,12
3200409,2012,12
3200409,2013,12
3200409,2014,12
3200409,2015,12
3200409,2016,12
3200409,2017,12
3200409,2018,12
3200409,2019,12
3200409,2020,12
3200508,2001,12
3200508,2002,12
3200508,2003,12
3200508,2004,12
3200508,2005,12
3200508,2006,12
3200508,2007,12
3200508,2008,11
3200508,2009,12
3200508,2010,11
3200508,2011,12
3200508,2012,12
3200508,2013,12
3200508,2014,12
3200508,2015,12
3200508,2016,12
3200508,2017,12
3200508,2018,12
3200508,2019,12
3200508,2020,12
3200607,2001,12
3200607,2002,12
3200607,2003,12
3200607,2004,12
3200607,2005,12
3200607,2006,12
3200607,2007,12
3200607,2008,12
3200607,2009,12
3200607,2010,12
3200607,2011,12
3200607,2012,12
3200607,2013,12
3200607,2014,12
3200607,2015,12
3200607,2016,12
3200607,2017,12
3200607,2018,12
3200607,2019,12
3200607,2020,12
3200706,2001,12
3200706,2002,12
3200706,2003,12
3200706,2004,12
3200706,2005,12
3200706,2006,12
3200706,2007,12
3200706,2008,12
3200706,2009,12
3200706,2010,12
3200706,2011,12
3200706,2012,12
3200706,2013,12
3200706,2014,12
3200706,2015,12
3200706,2016,12
3200706,2017,12
3200706,2018,12
3200706,2019,12
3200706,2020,12
3200805,2001,12
3200805,2002,12
3200805,2003,12
3200805,2004,12
3200805,2005,12
3200805,2006,12
3200805,2007,12
3200805,2008,12
3200805,2009,12
3200805,2010,12
3200805,2011,12
3200805,2012,12
3200805,2013,12
3200805,2014,12
3200805,2015,12
3200805,2016,12
3200805,2017,12
3200805,2018,12
3200805,2019,12
3200805,2020,12
3200904,2001,12
3200904,2002,12
3200904,2003,12
3200904,2004,12
3200904,2005,12
3200904,2006,12
3200904,2007,12
3200904,2008,12
3200904,2009,12
3200904,2010,12
3200904,2011,12
3200904,2012,12
3200904,2013,12
3200904,2014,12
3200904,2015,12
3200904,2016,12
3200904,2017,12
3200904,2018,12
3200904,2019,12
3200904,2020,12
3201001,2001,12
3201001,2002,12
3201001,2003,12
3201001,2004,12
3201001,2005,12
3201001,2006,12
3201001,2007,12
3201001,2008,12
3201001,2009,12
3201001,2010,12
3201001,2011,12
3201001,2012,12
3201001,2013,12
3201001,2014,12
3201001,2015,12
3201001,2016,12
