state_code,state_name,year,month,tmean
11,Rondônia,2020,9,28.6753498957707
11,Rondônia,2020,10,28.0976590376634
11,Rondônia,2020,11,26.9518386767461
11,Rondônia,2020,12,25.7055302399855
12,Acre,2001,1,24.3721172159368
12,Acre,2001,2,24.6514817151156
12,Acre,2001,3,24.6062629873103
12,Acre,2001,4,24.6493801637129
12,Acre,2001,5,24.17700065266
12,Acre,2001,6,22.4322381453081
12,Acre,2001,7,23.6861560994929
12,Acre,2001,8,25.9230858195912
12,Acre,2001,9,25.3846782337535
12,Acre,2001,10,25.9960796182806
12,Acre,2001,11,25.4545814340765
12,Acre,2001,12,24.9526959332553
12,Acre,2002,1,25.4223506233909
12,Acre,2002,2,25.0535550550981
12,Acre,2002,3,25.1957295157693
12,Acre,2002,4,24.6805594184182
12,Acre,2002,5,24.6303047700362
12,Acre,2002,6,23.552642475475
12,Acre,2002,7,23.7973606803201
12,Acre,2002,8,25.5568625710227
12,Acre,2002,9,25.6041108044711
12,Acre,2002,10,26.0882868333296
12,Acre,2002,11,25.3287459286776
12,Acre,2002,12,25.193265394731
12,Acre,2003,1,25.4402307163585
12,Acre,2003,2,25.0623571222479
12,Acre,2003,3,24.8573145432906
12,Acre,2003,4,24.5669049349698
12,Acre,2003,5,24.31593504819
12,Acre,2003,6,24.0761129205877
12,Acre,2003,7,24.5160850178112
12,Acre,2003,8,24.4847980846058
12,Acre,2003,9,24.9065902883356
12,Acre,2003,10,25.7252433083274
12,Acre,2003,11,25.2566082694314
12,Acre,2003,12,25.4165817607533
12,Acre,2004,1,25.4307400096547
12,Acre,2004,2,25.1053669669412
12,Acre,2004,3,25.056996085427
12,Acre,2004,4,24.9507506977428
12,Acre,2004,5,22.9687944759022
12,Acre,2004,6,23.2791947451505
12,Acre,2004,7,23.4276671843095
12,Acre,2004,8,24.4728182879361
12,Acre,2004,9,25.4645537463102
12,Acre,2004,10,25.3520970778032
12,Acre,2004,11,24.9679434516213
12,Acre,2004,12,25.0474894263528
12,Acre,2005,1,25.7366640784524
12,Acre,2005,2,24.9902922890403
12,Acre,2005,3,25.198617068204
12,Acre,2005,4,24.6648035916415
12,Acre,2005,5,24.6945563229648
12,Acre,2005,6,24.6854535016147
12,Acre,2005,7,24.400223385204
12,Acre,2005,8,26.2513279481368
12,Acre,2005,9,26.1356094533747
12,Acre,2005,10,25.59737665003
12,Acre,2005,11,25.4545904506337
12,Acre,2005,12,25.1889870383523
12,Acre,2006,1,25.051439632069
12,Acre,2006,2,25.0718295357444
12,Acre,2006,3,25.1800385388461
12,Acre,2006,4,24.4393677277999
12,Acre,2006,5,23.5494168888439
12,Acre,2006,6,24.4356922669844
12,Acre,2006,7,25.4638684012673
12,Acre,2006,8,26.2657590345903
12,Acre,2006,9,26.0315480665727
12,Acre,2006,10,25.7587484012951
12,Acre,2006,11,25.311467517506
12,Acre,2006,12,25.2744433663108
12,Acre,2007,1,25.65403175354
12,Acre,2007,2,25.8281199715354
12,Acre,2007,3,24.9376103661277
12,Acre,2007,4,24.6950747750022
12,Acre,2007,5,23.2533650831743
12,Acre,2007,6,24.6077086708763
12,Acre,2007,7,24.16932331432
12,Acre,2007,8,25.9319281144576
12,Acre,2007,9,26.2517147931186
12,Acre,2007,10,25.6787242889404
12,Acre,2007,11,25.045016375455
12,Acre,2007,12,24.844198660417
12,Acre,2008,1,24.8136102502996
12,Acre,2008,2,24.676721572876
12,Acre,2008,3,24.2157135876742
12,Acre,2008,4,24.3446322354404
12,Acre,2008,5,23.5167455673218
12,Acre,2008,6,23.2375707626343
12,Acre,2008,7,25.2021259828047
12,Acre,2008,8,26.4668741226196
12,Acre,2008,9,26.1199900887229
12,Acre,2008,10,25.9509894631126
