state_code,state_name,state_abb,year,month,tmean,prcp,pdsi
27,Alagoas,AL,2010,7,22.6449543635051,92.7022290697285,-1.02931564087596
27,Alagoas,AL,2011,7,22.2150202919455,209.008802862728,-0.609542499132016
27,Alagoas,AL,2012,7,22.4007094140146,71.3936508403105,-2.53902516294928
27,Alagoas,AL,2013,7,22.7764256421258,166.517964568793,-3.55200901627541
27,Alagoas,AL,2014,7,22.7588794932646,89.6618232540056,-1.64782254156821
27,Alagoas,AL,2015,7,22.9342480266796,101.043368133844,-1.52517668113989
27,Alagoas,AL,2016,7,22.9221273310044,62.5543089286954,-3.3128988088346
27,Alagoas,AL,2017,7,21.8790321911083,174.852213167677,-3.31314466046352
27,Alagoas,AL,2018,7,22.7724934372248,61.2100701238595,-3.27601456408407
27,Alagoas,AL,2019,7,22.8555757672179,119.715882282631,-2.70149556094525
27,Alagoas,AL,2020,7,22.592310924156,83.3840758379768,-2.31101879652809
27,Alagoas,AL,2001,8,22.1011850693647,80.068561703551,1.18864421867857
27,Alagoas,AL,2002,8,22.3260834824805,76.6808830710018,-0.899558408587586
27,Alagoas,AL,2003,8,23.2674024993298,51.1119999418072,-1.24943984855039
27,Alagoas,AL,2004,8,22.4925803016214,73.6335233987547,-0.200371842794851
27,Alagoas,AL,2005,8,22.3582214280671,88.4181229273478,-0.937513911786179
27,Alagoas,AL,2006,8,22.5902025559369,60.5286487504548,-0.0721510729442039
27,Alagoas,AL,2007,8,22.0915167378444,95.1535509146896,-0.838684624901005
27,Alagoas,AL,2008,8,22.2764700347302,96.0436274397607,0.406450029754756
27,Alagoas,AL,2009,8,22.7526706059774,103.774845497281,0.737666938965227
27,Alagoas,AL,2010,8,22.104167470745,62.8132774128634,-1.15001263668505
27,Alagoas,AL,2011,8,22.5289667727901,58.3953047359691,-0.522107129439474
27,Alagoas,AL,2012,8,22.0902137943343,63.6966982635797,-2.72004588445028
27,Alagoas,AL,2013,8,22.6732383802825,70.5566965925927,-3.43861238461207
27,Alagoas,AL,2014,8,22.4142291873109,68.9956139209224,-1.80545747599692
27,Alagoas,AL,2015,8,22.816312602922,57.1557756031261,-1.71355559779148
27,Alagoas,AL,2016,8,23.3855495639876,33.0288356706208,-3.68507630684797
27,Alagoas,AL,2017,8,22.4074154835121,79.7218078538484,-3.45389539821475
27,Alagoas,AL,2018,8,23.5533402012844,37.4799556919173,-3.67014905518177
27,Alagoas,AL,2019,8,22.7119994257011,74.4731674568326,-2.69707684423409
27,Alagoas,AL,2020,8,22.7256040386125,55.4055726481419,-2.41063407940023
27,Alagoas,AL,2001,9,23.6069295359593,46.8460436802285,1.62748789319805
27,Alagoas,AL,2002,9,23.8167161380543,34.0069666282803,-0.819467601238513
27,Alagoas,AL,2003,9,23.8896401349236,58.6615555894141,-0.469883410353955
27,Alagoas,AL,2004,9,22.9484904981127,70.5022374134438,-0.205938793901427
27,Alagoas,AL,2005,9,23.6818344265807,47.702274612352,-1.28338091046202
27,Alagoas,AL,2006,9,23.7285778008255,40.6455364227295,-0.00713697453394686
27,Alagoas,AL,2007,9,22.5310339647181,72.2095842361451,-0.909187855673771
27,Alagoas,AL,2008,9,23.8028209349688,38.8327393625297,0.676559504395461
